"Российская Федерация, г, Москва ДТП - всего (15,09,2017-29,09,2017)";"";"";"";"";"";"";"";"";"";"";"";
"61,0";"27,09,2017";"Южное Бутово";"Наезд на пешехода";"";"0";"0";"г Москва ул Изюмская 46";"0,0";"1,0";"1,0";"2,0";
"62,0";"27,09,2017";"Северный";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 169,к,3";"0,0";"1,0";"2,0";"2,0";
"63,0";"27,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Наезд на стоящее ТС";"А-106 Рублево-Успенское шоссе";"21";"0";"г Москва  ";"0,0";"1,0";"3,0";"3,0";
"64,0";"27,09,2017";"Митино";"Наезд на пешехода";"";"0";"0";"г Москва ул Митинская 43";"0,0";"1,0";"1,0";"2,0";
"65,0";"27,09,2017";"Марьина роща";"Столкновение";"";"0";"0";"г Москва пр-кт Мира 92";"0,0";"1,0";"2,0";"2,0";
"66,0";"27,09,2017";"Ломоносовский";"Наезд на пешехода";"";"0";"0";"г Москва ул Гарибальди 3 а";"0,0";"1,0";"1,0";"2,0";
"67,0";"27,09,2017";"Восточное Измайлово";"Столкновение";"";"0";"0";"г Москва ул Первомайская 106";"0,0";"1,0";"2,0";"2,0";
"68,0";"27,09,2017";"Киевский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"62";"100";"  ";"2,0";"0,0";"3,0";"4,0";
"69,0";"27,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ул Тимирязевская 44";"0,0";"2,0";"2,0";"2,0";
"70,0";"27,09,2017";"Сосенское";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"21";"0";"  ";"0,0";"2,0";"2,0";"3,0";
"71,0";"27,09,2017";"Лосиноостровский";"Наезд на пешехода";"";"0";"0";"г Москва проезд Анадырский 19 2";"0,0";"1,0";"1,0";"2,0";
"72,0";"27,09,2017";"Северное Тушино";"Наезд на препятствие";"";"0";"0";"г Москва ул Героев Панфиловцев 28";"0,0";"1,0";"1,0";"2,0";
"73,0";"27,09,2017";"Бирюлево Восточное";"Наезд на пешехода";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"24";"800";"г Москва км МКАД 25-й ";"1,0";"3,0";"5,0";"7,0";
"74,0";"27,09,2017";"Хамовники";"Столкновение";"";"0";"0";"г Москва пл Боровицкая 0";"0,0";"1,0";"3,0";"3,0";
"75,0";"27,09,2017";"Даниловский";"Наезд на пешехода";"";"0";"0";"г Москва ул Автозаводская 14";"1,0";"0,0";"1,0";"2,0";
"76,0";"27,09,2017";"Аэропорт";"Столкновение";"";"0";"0";"г Москва ул Красноармейская 4";"0,0";"1,0";"2,0";"2,0";
"77,0";"27,09,2017";"Лефортово";"Наезд на пешехода";"";"0";"0";"г Москва ул Солдатская 3";"0,0";"1,0";"1,0";"2,0";
"78,0";"27,09,2017";"Текстильщики";"Столкновение";"";"0";"0";"г Москва пр-кт Волгоградский 48 к,2";"0,0";"2,0";"2,0";"4,0";
"79,0";"27,09,2017";"Выхино-Жулебино";"Наезд на пешехода";"";"0";"0";"г Москва ул Привольная 58";"0,0";"1,0";"1,0";"2,0";
"80,0";"27,09,2017";"Выхино-Жулебино";"Наезд на пешехода";"";"0";"0";"г Москва ул Авиаконструктора Миля 3";"0,0";"1,0";"1,0";"2,0";
"81,0";"27,09,2017";"Северное Тушино";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"73";"55";"г Москва  ";"0,0";"1,0";"2,0";"2,0";
"82,0";"27,09,2017";"Дмитровский";"Столкновение";"";"0";"0";"г Москва ул Вагоноремонтная 10А-стр7";"0,0";"1,0";"2,0";"2,0";
"83,0";"27,09,2017";"Чертаново Центральное";"Столкновение";"";"0";"0";"г Москва ул Кировоградская 11";"0,0";"1,0";"2,0";"3,0";
"84,0";"26,09,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва ул Новослободская 45СТР1";"0,0";"1,0";"1,0";"2,0";
"85,0";"26,09,2017";"Строгино";"Наезд на препятствие";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"64";"0";"г Москва  ";"0,0";"1,0";"1,0";"1,0";
"86,0";"26,09,2017";"Нагатино-Садовники";"Наезд на стоящее ТС";"";"0";"0";"г Москва ш Каширское 5 К1";"0,0";"1,0";"3,0";"3,0";
"87,0";"26,09,2017";"Беговой";"Падение пассажира";"";"0";"0";"г Москва ул Расковой 13";"0,0";"1,0";"1,0";"2,0";
"88,0";"26,09,2017";"Хорошевский";"Наезд на пешехода";"";"0";"0";"г Москва ш Хорошёвское 25";"0,0";"1,0";"1,0";"2,0";
"89,0";"26,09,2017";"Якиманка";"Наезд на пешехода";"";"0";"0";"г Москва ул Полянка Б, 4 10";"0,0";"1,0";"1,0";"2,0";
"90,0";"26,09,2017";"Лианозово";"Наезд на пешехода";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"82";"400";"г Москва  ";"0,0";"1,0";"1,0";"2,0";
"91,0";"26,09,2017";"Южное Бутово";"Наезд на препятствие";"";"0";"0";"г Москва ш Варшавское 206";"0,0";"1,0";"1,0";"2,0";
"92,0";"26,09,2017";"Чертаново Центральное";"Столкновение";"";"0";"0";"г Москва ш Варшавское 99А";"0,0";"1,0";"2,0";"2,0";
"93,0";"26,09,2017";"Молжаниновский";"Столкновение";"";"0";"0";"г Москва ш Ленинградское 240";"0,0";"2,0";"3,0";"4,0";
"94,0";"26,09,2017";"Москворечье-Сабурово";"Столкновение";"";"0";"0";"г Москва ш Каширское 32";"0,0";"1,0";"6,0";"6,0";
"95,0";"26,09,2017";"Пресненский";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Грузинский Вал 18 15";"0,0";"1,0";"2,0";"2,0";
"96,0";"26,09,2017";"Соколиная гора";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Будённого 29 1";"1,0";"0,0";"1,0";"2,0";
"97,0";"26,09,2017";"Коньково";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Профсоюзная 67а стр,2";"0,0";"1,0";"2,0";"2,0";
"98,0";"26,09,2017";"Новокосино";"Наезд на пешехода";"";"0";"0";"г Москва ул Суздальская 34к2";"0,0";"1,0";"1,0";"2,0";
"99,0";"26,09,2017";"Щаповское поселение";"Наезд на велосипедиста";"";"0";"0";"п Щапово  ";"0,0";"1,0";"2,0";"2,0";
"100,0";"26,09,2017";"Арбат";"Столкновение";"";"0";"0";"г Москва ул Воздвиженка 8 1";"0,0";"2,0";"2,0";"3,0";
"101,0";"26,09,2017";"Роговское поселение";"Наезд на пешехода";"";"0";"0";"п Рогово  ";"0,0";"1,0";"1,0";"2,0";
"102,0";"26,09,2017";"Новогиреево";"Столкновение";"";"0";"0";"г Москва ул Фрязевская вл,3Г";"0,0";"1,0";"2,0";"2,0";
"103,0";"26,09,2017";"Гагаринский";"Столкновение";"";"0";"0";"г Москва ул Вавилова 71";"0,0";"1,0";"2,0";"2,0";
"104,0";"26,09,2017";"Ивановское";"Столкновение";"";"0";"0";"г Москва ш Энтузиастов 51";"0,0";"1,0";"3,0";"3,0";
"105,0";"26,09,2017";"Отрадное";"Столкновение";"";"0";"0";"г Москва аллея Берёзовая 16а";"0,0";"1,0";"3,0";"3,0";
